code,name,description,category,url,status,public-database
RS-APR,,,RS,http://www.apr.gov.rs/eng/Home.aspx,active,
RS-PIB,,,RS,http://www.poreskauprava.gov.rs/pib.html,active,
RU-INN,,,RU,https://russianpartner.biz/,active,
RU-OGRN,,,RU,https://www.egrul.ru/,active,
SE-BLV,,,SE,http://www.bolagsverket.se/,withdrawn,
SE-KK,,,SE,https://www.kammarkollegiet.se/,withdrawn,
SE-ON,,,SE,http://www.bolagsverket.se/ff/foretagsformer/organisationsnummer-1.7902,active,
SG-ACRA,,,SG,http://www.acra.gov.sg/,active,
SI-PRS,,,SI,http://www.ajpes.eu/prs/,active,
SI-TIN,,,SI,https://www.ajpes.eu/,active,
SK-ORSR,,,SK,http://www.orsr.sk/search_subjekt.asp?lan=en,active,
SK-ZRSR,,,SK,http://www.orsr.sk/search_subjekt.asp?lan=en,withdrawn,
SN-NINEA,,,SN,http://creationdentreprise.sn/en/finding-business,active,
SS-RRC,,,SS,,active,
TR-MERSIS,,,TR,https://mersis.gtb.gov.tr/,active,
TR-MOI,,,TR,https://www.dernekler.gov.tr/,active,
TZ-BRLA,,,TZ,http://www.brela.go.tz/,active,
TZ-TRA,,,TZ,https://www.tra.go.tz/index.php,active,
UA-EDR,,,UA,https://usr.minjust.gov.ua/ua/home,active,
UG-NGB,,,UG,http://www.mia.go.ug/?page_id=62,active,
UG-RSB,,,UG,http://www.ursb.go.ug/,active,
US-DOS,,,US,http://www.companieshouse.gov.uk/links/usaLink.shtml,withdrawn,
US-EIN,,,US,https://apps.irs.gov/app/eos/,active,
US-USAGOV,,,US,https://www.usa.gov/,active,
UZ-KTUT,,,UZ,https://my.gov.uz/uz/regService/413,active,
XE-EXAMPLE,,,-,,active,
XI-EORI,,,XI,http://ec.europa.eu/taxation_customs/dds2/eos/eori_validation.jsp,active,
XI-GRID,,,-,https://www.grid.ac/,active,
XI-IATI,,,-,http://iatistandard.org/codelists/IATIOrganisationIdentifier/,active,
XI-PB,,,BR,http://publicbodies.org/,active,
XI-PID,,,XI,https://permid.org,active,
XI-WIKIDATA,,,XI,https://www.wikidata.org/,active,
XM-DAC,,,-,http://www.oecd.org/dac/stats/dacandcrscodelists.htm,active,
XM-OCHA,,,-,http://www.unocha.org,active,
XR-NUTS,,,HR,http://ec.europa.eu/eurostat/web/nuts/local-administrative-units,active,
ZA-CIP,,,ZA,http://www.cipro.gov.za/,active,
ZA-NPO,,,ZA,http://www.npo.gov.za/,active,
ZA-PBO,,,ZA,http://www.sars.gov.za/home.asp?pid=170,withdrawn,
ZM-PCR,,,ZM,http://www.pacra.org.zm/,active,
ZW-PVO,,,ZW,,active,
ZW-ROD,,,ZW,http://www.dcip.gov.zw/,active,
